Date,LQI
1582,103
1583,100
1584,103
1585,107
1586,100
1587,105
1588,107
1589,107
1590,106
1591,100
1592,106
1593,99
1594,105
1595,106
1596,103
1597,106
1598,106
1599,107
1600,105
1601,107
1602,101
1603,96
1604,102
1605,104
1606,1
1607,105
1608,107
1609,108
1610,107
1611,108
1612,105
1613,106
1614,107
1615,104
1616,102
1617,106
1618,101
1619,95
1620,91
1621,99
1622,108
1623,86
1624,97
1625,108
1626,107
1627,107
1628,107
1629,100
1630,104
1631,107
1632,107
1633,77
1634,95
1635,98
1636,108
1637,108
1638,86
1639,106
1640,101
1641,107
1642,105
1643,107
1644,108
1645,106
1646,103
1647,105
1648,78
1649,101
1650,105
1651,107
1652,97
1653,100
1654,103
1655,99
1656,105
1657,104
1658,99
1659,105
1660,106
1661,107
1662,103
1663,107
1664,103
1665,106
1666,104
1667,95
1668,107
1669,106
1670,92
1671,107
1672,103
1673,101
1674,107
1675,108
1676,105
1677,104
1678,108
1679,92
1680,96
1681,103
1682,101
1683,98
1684,99
1685,108
1686,100
1687,91
1688,105
1689,104
1690,103
1691,108
1692,103
1693,97
1694,105
1695,102
1696,102
1697,105
1698,102
1699,104
1700,103
1701,102
1702,103
1703,107
1704,103
1705,99
1706,107
1707,98
1708,104
1709,107
1710,107
1711,107
1712,106
1713,107
1714,107
1715,107
1716,104
1717,108
1718,107
1719,108
1720,107
1721,106
1722,107
1723,108
1724,107
1725,101
1726,104
1727,101
1728,107
1729,1
1730,106
1731,104
1732,106
1733,105
1734,103
1735,98
1736,78
1737,103
1738,100
1739,103
1740,106
1741,106
1742,107
1743,105
1744,106
1745,106
1746,107
1747,107
1748,107
1749,106
1750,103
1751,99
1752,104
1753,105
1754,105
1755,100
1756,103
1757,108
1758,107
1759,99
1760,105
1761,107
1762,105
1763,106
1764,106
1765,107
1766,102
1767,101
1768,105
1769,108
1770,98
1771,107
1772,104
1773,106
1774,108
1775,104
1776,102
1777,101
1778,107
1779,107
1780,99
1781,87
1782,76
1783,96
1784,103
1785,105
1786,105
1787,97
1788,95
1789,105
1790,108
1791,94
1792,102
1793,108
1794,103
1795,99
1796,106
1797,103
1798,107
1799,108
1800,107
1801,99
1802,104
1803,97
1804,99
1805,107
1806,103
1807,104
1808,100
1809,98
1810,102
1811,101
1812,108
1813,107
1814,96
1815,107
1816,105
1817,102
1818,99
1819,105
1820,98
1821,94
1822,104
1823,107
1824,106
1825,100
1826,105
1827,99
1828,105
1829,102
1830,107
1831,105
1832,78
1833,105
1834,107
1835,108
1836,107
1837,107
1838,107
1839,108
1840,108
1841,108
1842,107
1843,107
1844,107
1845,107
1846,108
1847,108
1848,108
1849,107
1850,107
1851,107
1852,107
1853,108
1854,107
1855,107
1856,107
1857,108
1858,107
1859,107
1860,108
1861,108
1862,107
1863,108
1864,107
1865,107
1866,107
1867,107
1868,107
1869,108
1870,108
1871,108
1872,105
1873,108
1874,108
1875,107
1876,107
1877,107
1878,107
1879,106
1880,107
1881,107
1882,107
1883,108
1884,107
1885,106
1886,104
1887,107
1888,104
1889,108
1890,106
1891,108
1892,88
1893,107
1894,107
